"","Date","Time","nObs"
"181",2019-06-29,2020-07-11 21:11:00,"1"
"182",2019-06-29,2020-07-11 21:14:00,"1"
"183",2019-06-29,2020-07-11 21:15:00,"1"
"184",2019-06-29,2020-07-11 21:18:00,"1"
"185",2019-07-01,2020-07-11 20:44:00,"1"
"186",2019-07-01,2020-07-11 20:54:00,"2"
"187",2019-07-01,2020-07-11 20:55:00,"2"
"188",2019-07-01,2020-07-11 20:57:00,"1"
"189",2019-07-01,2020-07-11 20:59:00,"2"
"190",2019-07-01,2020-07-11 21:00:00,"1"
"191",2019-07-01,2020-07-11 21:01:00,"1"
"192",2019-07-01,2020-07-11 21:03:00,"1"
"193",2019-07-01,2020-07-11 21:04:00,"1"
"194",2019-07-01,2020-07-11 21:07:00,"1"
"195",2019-07-01,2020-07-11 21:08:00,"1"
"196",2019-07-01,2020-07-11 21:09:00,"1"
"197",2019-07-01,2020-07-11 21:10:00,"1"
"198",2019-07-01,2020-07-11 21:11:00,"2"
"199",2019-07-01,2020-07-11 21:12:00,"1"
"200",2019-07-01,2020-07-11 21:13:00,"1"
"201",2019-07-01,2020-07-11 21:16:00,"1"
"202",2019-07-01,2020-07-11 21:17:00,"1"
"203",2019-07-01,2020-07-11 21:22:00,"2"
"204",2019-07-06,2020-07-11 20:43:00,"1"
"205",2019-07-06,2020-07-11 20:46:00,"1"
"206",2019-07-06,2020-07-11 20:49:00,"1"
"207",2019-07-06,2020-07-11 20:50:00,"2"
"208",2019-07-06,2020-07-11 20:59:00,"1"
"209",2019-07-06,2020-07-11 21:00:00,"1"
"210",2019-07-06,2020-07-11 21:02:00,"1"
"211",2019-07-06,2020-07-11 21:03:00,"2"
"212",2019-07-06,2020-07-11 21:06:00,"1"
"213",2019-07-14,2020-07-11 20:36:00,"1"
"214",2019-07-14,2020-07-11 20:51:00,"1"
"215",2019-07-14,2020-07-11 20:52:00,"1"
"216",2019-07-14,2020-07-11 20:54:00,"1"
"217",2019-07-14,2020-07-11 21:00:00,"1"
"218",2019-07-14,2020-07-11 21:01:00,"1"
"219",2019-07-14,2020-07-11 21:03:00,"1"
"220",2019-07-14,2020-07-11 21:05:00,"1"
"221",2019-07-15,2020-07-11 20:33:00,"1"
"222",2019-07-15,2020-07-11 20:34:00,"1"
"223",2019-07-15,2020-07-11 20:37:00,"1"
"224",2019-07-15,2020-07-11 20:39:00,"1"
"225",2019-07-15,2020-07-11 20:41:00,"1"
"226",2019-07-15,2020-07-11 20:42:00,"2"
"227",2019-07-15,2020-07-11 20:46:00,"2"
"228",2019-07-15,2020-07-11 20:49:00,"1"
"229",2019-07-15,2020-07-11 20:50:00,"2"
"230",2019-07-15,2020-07-11 20:52:00,"1"
"231",2019-07-15,2020-07-11 20:55:00,"2"
"232",2019-07-15,2020-07-11 20:57:00,"1"
"233",2019-07-15,2020-07-11 21:01:00,"1"
"234",2019-07-15,2020-07-11 21:04:00,"1"
"235",2019-07-15,2020-07-11 21:06:00,"1"
"236",2019-07-15,2020-07-11 21:11:00,"1"
"237",2019-07-18,2020-07-11 20:41:00,"1"
"238",2019-07-18,2020-07-11 20:44:00,"1"
"239",2019-07-18,2020-07-11 20:47:00,"1"
"240",2019-07-18,2020-07-11 20:52:00,"1"
"241",2019-07-18,2020-07-11 20:53:00,"1"
"242",2019-07-18,2020-07-11 20:54:00,"1"
"243",2019-07-18,2020-07-11 20:58:00,"1"
"244",2019-07-18,2020-07-11 21:01:00,"2"
"245",2019-07-18,2020-07-11 21:02:00,"2"
"246",2019-07-18,2020-07-11 21:04:00,"1"
"247",2019-07-18,2020-07-11 21:06:00,"1"
"248",2019-07-18,2020-07-11 21:12:00,"1"
"249",2019-07-18,2020-07-11 21:14:00,"1"
"250",2019-07-19,2020-07-11 20:45:00,"1"
"251",2019-07-19,2020-07-11 20:46:00,"1"
"252",2019-07-19,2020-07-11 20:50:00,"1"
"253",2019-07-19,2020-07-11 20:57:00,"1"
"254",2019-07-19,2020-07-11 20:58:00,"2"
"255",2019-07-19,2020-07-11 20:59:00,"1"
"256",2019-07-19,2020-07-11 21:00:00,"1"
"257",2019-07-19,2020-07-11 21:07:00,"1"
"258",2019-07-19,2020-07-11 21:08:00,"2"
"259",2019-07-19,2020-07-11 21:13:00,"1"
"260",2019-07-19,2020-07-11 21:16:00,"1"
"261",2019-07-21,2020-07-11 20:38:00,"2"
"262",2019-07-21,2020-07-11 20:41:00,"1"
"263",2019-07-21,2020-07-11 20:45:00,"1"
"264",2019-07-21,2020-07-11 20:47:00,"1"
"265",2019-07-21,2020-07-11 20:50:00,"1"
"266",2019-07-21,2020-07-11 20:53:00,"1"
"267",2019-07-21,2020-07-11 20:59:00,"1"
"268",2019-07-21,2020-07-11 21:00:00,"1"
"269",2019-07-21,2020-07-11 21:02:00,"1"
"270",2019-07-23,2020-07-11 20:27:00,"1"
"271",2019-07-23,2020-07-11 20:33:00,"1"
"272",2019-07-23,2020-07-11 20:38:00,"1"
"273",2019-07-23,2020-07-11 20:40:00,"1"
"274",2019-07-23,2020-07-11 20:43:00,"1"
"275",2019-07-23,2020-07-11 20:46:00,"1"
"276",2019-07-23,2020-07-11 20:53:00,"1"
"277",2019-07-23,2020-07-11 20:56:00,"1"
"278",2019-07-23,2020-07-11 20:59:00,"1"
"279",2019-07-26,2020-07-11 20:35:00,"1"
"280",2019-07-26,2020-07-11 20:41:00,"1"
"281",2019-07-26,2020-07-11 20:47:00,"2"
"282",2019-07-26,2020-07-11 20:49:00,"2"
"283",2019-07-26,2020-07-11 20:51:00,"1"
"284",2019-07-26,2020-07-11 20:53:00,"1"
"285",2019-07-26,2020-07-11 20:54:00,"1"
"286",2019-07-26,2020-07-11 20:55:00,"1"
